""	"LU1"	"LU2"	"LU3"	"LU7"	"LU8"	"LU9"	"LU13"	"LU14"	"LU15"	"LU19"	"LU20"	"LU21"	"LU25"	"LU26"	"LU27"	"LU31"	"LU32"	"LU33"
"Fzd4"	150.3805992	137.1968889	158.8951265	176.283139	166.1525573	168.5510578	160.0847354	179.3772106	194.2577433	187.7109967	168.0377038	185.6432937	159.3824988	157.0469903	171.9561855	161.3008737	180.0097861	175.4075472
"Marcks"	151.3659666	183.8144158	147.7728205	148.4146176	154.3162458	148.1328173	159.5634823	158.6853836	140.6176287	185.0294916	148.5753505	162.3410187	150.4886121	152.7919378	143.2146692	169.8779449	149.1877815	160.0916336
"Serf2"	320.0988304	319.1082614	312.5038113	301.710844	310.2161215	292.3954171	332.2585872	334.7160993	320.3734327	321.2282191	311.3090521	324.2673511	317.3061336	323.6719936	283.4568852	321.7901912	277.366478	313.4370283
"Bag1"	206.9860613	208.3090643	210.4926797	153.1032724	193.8997572	176.7074355	205.6512964	194.7380216	193.2874317	217.7042055	198.5801755	228.3770257	224.8176105	219.9504084	201.590374	216.5987629	176.2167092	214.5188858
"Cd200"	151.8458357	140.5470381	147.3298101	158.905221	157.0198277	160.5649567	188.9719037	184.8287391	155.0804827	205.1947481	167.0244945	201.759736	164.1086258	191.8838886	172.5937417	181.6861789	154.3049239	184.1539897
"Clip1"	161.8865502	136.4097094	174.3551263	134.8418283	145.8164114	151.8769521	156.7764027	154.2694154	160.6616355	192.0828164	192.6812845	190.1720394	190.9729526	183.1060391	199.3233518	159.7343954	179.1331253	158.8334983
"Plekha6"	73.57155951	62.63544753	66.39499752	118.0307126	85.57891489	114.9860782	92.06826982	78.39373099	90.29171132	34.10894165	48.76188731	47.06998894	41.00123755	46.51695276	47.0134438	48.71145042	52.3542454	50.03475266
"Mcf2l"	48.99626583	51.5094225	63.94471861	78.7385538	59.08692958	66.54304384	85.49186394	85.33501291	104.0715007	96.75640565	85.17477128	88.50272004	49.74010456	64.27161802	63.73548268	92.6523719	65.45839096	72.85320986
"Pdpn"	161.5048362	152.3579285	147.294526	78.90421495	148.0863737	133.7970898	143.5409533	150.5989294	149.7400465	146.703229	148.7012897	172.5788186	131.9104354	145.9398849	132.34298	142.972475	122.0286567	137.4285896
"Cgnl1"	250.3885808	189.4551231	223.4587156	178.7724992	176.8154798	192.8609628	179.8739889	203.5887313	195.7671858	182.8262977	194.9412287	184.1491852	200.1176356	187.4304841	232.8315597	208.3277575	237.5379872	218.6747065
"Hmgb1"	397.1254471	392.2929379	379.6375329	352.2279738	427.1893164	387.6040666	427.0440123	397.9131344	378.2167832	379.7902857	397.8318158	382.0857611	365.2003185	368.6285353	358.3383654	387.1641508	364.4581112	405.3746258
"Smurf2"	166.9388079	154.0768063	187.451657	146.4584197	133.5642927	151.3290775	148.2477698	144.9057702	147.3248145	194.5865421	198.6282729	186.4534793	176.0026874	181.3116585	199.5803403	173.0133115	175.7669372	158.7267258
"Dnah6"	66.43187149	82.51572755	75.89703911	110.712425	105.8059601	146.0290568	92.58881661	93.74909169	115.8864711	101.8647398	97.56301195	97.03783046	84.60177089	111.2215066	108.6213989	93.93869159	125.740459	93.19929185
"Tmcc2"	158.0890411	180.5729754	209.6581847	168.4875442	175.9799689	176.5573061	153.1608274	168.2161718	175.7647461	212.2932232	222.1713095	229.4453071	163.2392317	190.5439371	190.3226698	158.5276046	178.733854	185.6950719
"Cdc42bpb"	176.6828761	144.9612544	197.3905483	181.2840746	148.6140648	174.7856499	155.9676835	173.7633837	199.3797973	208.8730873	215.7661302	200.5924251	185.8192871	175.9266744	224.6636327	177.9730228	200.9738939	183.9398516
"Pcdhga8"	90.14012904	152.9769291	105.3222285	125.0684552	134.0057052	121.3344047	146.2842419	126.5170051	108.2865242	94.2618511	99.7134713	128.1021664	95.67383295	98.07929601	82.86403842	108.1779794	76.52199214	98.33623267
